Unique Well ID,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
100/05-06-082-19W6/00,CREW ENERGY INC.,1036058,840,173516,2839,475,3341,7579,2012,1318,78,17,Ball and Seat ,0.80,1020,SW,580.5
103/02-06-081-17W6/00,OVINTIV CANADA ULC,1317784,49436,269066,3610,737,4565,7582,2018,2173,70,31,Plug and Perf,1.70,3730,SW,631.1
102/09-18-080-15W6/00,TOURMALINE OIL CORP.,1262100,0,210350,3458,576,3977,7582,2016,1407,54,26,Ball and Seat ,1.00,1397,SW,313.4
100/11-05-078-17W6/00,MURPHY OIL COMPANY LTD.,1171815,0,195302,3211,535,4244,7582,2012,1260,90,14,Ball and Seat ,0.60,704,SW,67.1
103/13-05-081-20W6/00,SHELL CANADA LIMITED,3035242,0,505874,8316,1386,4434,7584,2017,1980,54,37,Ball and Seat ,1.30,2591,SW,370.7
100/05-01-080-16W6/00,TOURMALINE OIL CORP.,825321,3,137557,2255,376,3588,7584,2019,1191,54,22,Ball and Seat ,1.00,1175,SW,286.9
100/07-02-079-15W6/00,ARC RESOURCES LTD.,1674685,0,279114,4588,765,5335,7586,2016,2875,96,30,Ball and Seat ,1.00,3001,SW,424.7
103/13-23-082-20W6/00,CREW ENERGY INC.,349319,67,58287,957,160,3903,7586,2017,1878,57,33,Ball and Seat ,1.10,2053,SW,450.7
102/04-33-080-15W6/00,TOURMALINE OIL CORP.,655712,315,109600,1792,300,3890,7589,2020,1305,52,25,Ball and Seat ,1.00,1340,SW,279.4
105/16-04-080-17W6/00,OVINTIV CANADA ULC,506896,9306,93789,1389,257,4860,7589,2018,2413,121,20,Plug and Perf,0.80,1922,SW,431.7
100/01-18-078-17W6/00,ARC RESOURCES LTD.,355859,0,59310,972,162,4155,7589,2008,1451,181,8,Plug and Perf,0.20,279,WB,75.6
103/05-01-081-18W6/00,OVINTIV CANADA ULC,547858,16556,107866,1501,296,4585,7594,2018,2197,67,33,Plug and Perf,1.10,2301,SW,460.0
102/08-12-081-18W6/00,OVINTIV CANADA ULC,472772,17403,96198,1295,264,4200,7594,2018,1812,73,25,Plug and Perf,1.60,2831,SW,603.1
102/12-11-081-18W6/00,OVINTIV CANADA ULC,342849,79972,137114,939,376,5024,7594,2018,2522,126,20,Plug and Perf,1.50,3852,SW,768.9
102/05-33-080-15W6/00,TOURMALINE OIL CORP.,1113772,301,185929,3325,555,3859,7596,2020,1608,56,29,Ball and Seat ,1.00,1591,SW,325.8
103/08-02-080-19W6/00,SHELL CANADA LIMITED,880515,0,146752,2406,401,5646,7596,2016,2780,96,29,Ball and Seat ,0.60,1741,SW,347.6
102/09-07-080-15W6/00,TOURMALINE OIL CORP.,812548,120,135544,2226,371,3746,7598,2017,1408,83,17,Ball and Seat ,0.80,1050,SW,368.0
100/16-27-077-15W6/00,OVINTIV CANADA ULC,2319414,21746,408315,6355,1119,4700,7603,2012,2227,223,10,Plug and Perf,0.70,1610,SW,967.6
100/12-36-079-15W6/00,ARC RESOURCES LTD.,1635235,98,272637,4480,747,3440,7603,2006,1346,269,5,Coil Tubing Jet Cut,0.40,605,OIL,294.5
102/08-16-080-19W6/00,SHELL CANADA LIMITED,1158865,0,193144,3175,529,4754,7603,2016,2104,57,37,Ball and Seat ,0.60,1158,SW,254.1
102/02-28-080-17W6/00,OVINTIV CANADA ULC,529226,62647,150852,1450,413,4770,7603,2018,2357,103,23,Plug and Perf,1.70,3985,SW,799.6
100/08-08-081-16W6/00,ARC RESOURCES LTD.,708024,0,118004,1940,323,3843,7606,2014,1610,81,20,Plug and Perf,0.80,1247,SW,388.8
100/14-29-079-20W6/02,SHELL CANADA LIMITED,397678,0,66280,1090,182,4950,7606,2010,1702,340,5,Plug and Perf,0.60,976,SW,976.4
102/11-02-084-25W6/00,PETRONAS ENERGY CANADA LTD.,356177,240,59603,976,163,4248,7606,2012,1621,180,9,Plug and Perf,1.60,2525,SW,2101.2
100/12-12-077-15W6/00,OVINTIV CANADA ULC,2223461,67603,438180,6092,1201,6300,7610,2014,3446,119,29,Ball and Seat/Plug and Perf,1.20,4221,SW,1109.2
103/14-16-080-15W6/00,ARC RESOURCES LTD.,817019,61,136231,2238,373,3996,7610,2017,1847,168,11,Plug and Perf,1.70,3109,SW,999.7
100/16-08-080-19W6/00,SHELL CANADA LIMITED,1285164,21,214215,3521,587,4502,7613,2009,1415,354,4,Plug and Perf,0.50,744,SW,970.0
100/04-13-081-18W6/00,OVINTIV CANADA ULC,1175597,105844,301777,3221,827,4400,7613,2017,1888,61,31,Plug and Perf,2.90,5457,SW,982.6
100/05-34-077-15W6/00,OVINTIV CANADA ULC,2885603,21002,501936,7884,1371,5030,7615,2015,2607,201,13,Ball and Seat/Plug and Perf,0.80,1995,SW,624.1
100/13-35-080-16W6/00,ARC RESOURCES LTD.,1379168,1180,231041,3779,633,3164,7615,2010,1192,149,8,Plug and Perf,0.70,800,BI Foam,127.7
100/12-15-079-15W6/00,ARC RESOURCES LTD.,990566,0,165094,2714,452,4465,7615,2012,2246,140,16,Plug and Perf,0.50,1123,SW,274.4
100/06-19-077-15W6/02,OVINTIV CANADA ULC,229189,63,38261,626,105,4575,7615,2007,2106,234,9,Coil Tubing Jet Cut,0.40,918,WB,128.5
100/10-29-081-19W6/00,CANADIAN NATURAL RESOURCES LIMITED,1028921,0,171487,2819,470,4481,7618,2014,2004,106,19,Ball and Seat ,0.60,1236,SW,584.1
100/07-03-081-16W6/00,ARC RESOURCES LTD.,804394,10006,144071,2198,394,3319,7618,2008,1202,172,7,Plug and Perf,0.80,909,CO2 Foam,90.8
100/15-16-080-15W6/00,ARC RESOURCES LTD.,727486,26,121273,1993,332,3854,7618,2017,1667,167,10,Plug and Perf,1.70,2839,SW,1009.5
100/08-26-077-17W6/00,MURPHY OIL COMPANY LTD.,621136,0,103523,1697,283,4313,7620,2011,1630,136,12,Ball and Seat ,0.40,612,SW,71.6
