Unique Well ID,Region,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo Monthly WTR  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
102/09-26-080-16W6/00,south_graben,TOURMALINE OIL CORP.,2434332,605,406327,18797,6669,1113,3935,8033,2014,1666,69,24,Ball and Seat ,0.9,1412,SW,338
100/05-25-080-16W6/00,south_graben,TOURMALINE OIL CORP.,2432870,72,405551,17288,6665,1111,3636,7910,2014,1352,52,26,Ball and Seat ,1.1,1525,SW,325.8
104/07-29-081-19W6/00,south_graben,CANADIAN NATURAL RESOURCES LIMITED,2427226,722,405260,28326,6650,1110,4172,8364,2017,1902,50,38,Ball and Seat ,1.8,3496.5,SW,593.2
100/14-04-079-17W6/00,south_graben,OVINTIV CANADA ULC,2424006,2077,406078,57776,6623,1110,4302,7133,2015,1732,116,15,Plug and Perf,2.8,4901.7,SW,1068
100/05-15-078-14W6/00,south_graben,OVINTIV CANADA ULC,2404448,113671,514413,102025,6570,1406,6420,8095,2020,3997,103,39,Plug and Perf,2.9,11468.2,SW,848.9
103/10-10-080-17W6/00,south_graben,OVINTIV CANADA ULC,2402319,18937,419324,63374,6564,1146,4814,7253,2015,2569,122,21,Plug and Perf,2,5017.3,SW,925
102/12-35-081-20W6/00,south_graben,CANADIAN NATURAL RESOURCES LIMITED,2396492,0,399415,46033,6566,1094,5913,7658,2018,3697,60,62,Ball and Seat/Plug and Perf,1.4,5161.5,SW,732.2
100/12-13-077-14W6/00,south_graben,OVINTIV CANADA ULC,2383372,92460,489689,25845,6530,1342,5072,7781,2017,2727,76,36,Plug and Perf,1.4,3857.6,SW,537.6
100/12-10-078-14W6/00,south_graben,OVINTIV CANADA ULC,2382006,113520,510521,103273,6508,1395,6027,7858,2020,3614,106,34,Plug and Perf,2.8,9976.7,SW,855.4
100/13-06-080-17W6/00,south_graben,OVINTIV CANADA ULC,2381398,48938,445838,69723,6507,1218,5131,7740,2019,2571,117,22,Plug and Perf,2.3,5992,SW,792
100/01-08-078-17W6/00,south_graben,MURPHY OIL COMPANY LTD.,2381158,0,396860,22419,6506,1084,5925,8045,2019,3004,100,30,Plug and Perf,1.5,4481,SW,702.3
102/04-10-078-14W6/00,south_graben,OVINTIV CANADA ULC,2379823,102678,499315,72380,6502,1364,5485,8050,2020,3122,112,28,Plug and Perf,2.9,9094.3,SW,950.8
100/12-34-077-14W6/00,south_graben,OVINTIV CANADA ULC,2374152,126274,521966,76652,6487,1426,5725,8141,2019,3280,94,35,Plug and Perf,2.9,9355,SW,767.2
100/03-09-079-17W6/00,south_graben,OVINTIV CANADA ULC,2364401,2026,396093,3872,6460,1082,4947,4908,2015,2196,116,19,Plug and Perf,2.6,5647.4,SW,1398.1
106/07-29-081-19W6/00,south_graben,CANADIAN NATURAL RESOURCES LIMITED,2353906,707,393025,27846,6449,1077,4239,8458,2017,1992,47,42,Ball and Seat ,1.8,3574.5,SW,548
100/04-10-078-14W6/00,south_graben,OVINTIV CANADA ULC,2346553,89643,480735,71496,6411,1314,5557,7858,2020,3237,112,29,Plug and Perf,2.9,9390,SW,895.9
103/05-31-080-15W6/00,south_graben,TOURMALINE OIL CORP.,2345875,217,391196,20416,6410,1069,3592,6427,2015,1368,53,26,Ball and Seat ,0.8,1036.8,SW,230.1
100/04-03-078-14W6/00,south_graben,OVINTIV CANADA ULC,2341030,145428,535600,89016,6396,1463,5490,8107,2019,3180,94,34,Plug and Perf,2.6,8111.5,SW,811.2
104/13-31-079-17W6/00,south_graben,OVINTIV CANADA ULC,2332745,33064,421855,88799,6391,1156,4580,6713,2017,2155,35,62,Plug and Perf,1.4,2990,SW,401.8
